1560326096367,D7:85:88:F5:88:4C,-52
1560326096898,C1:AC:89:13:6B:C2,-85
1560326097091,D7:85:88:F5:88:4C,-61
1560326097138,D7:85:88:F5:88:4C,-62
1560326097945,C1:AC:89:13:6B:C2,-92
1560326098040,D7:85:88:F5:88:4C,-50
1560326098501,C1:AC:89:13:6B:C2,-89
1560326098992,D7:85:88:F5:88:4C,-56
1560326099942,D7:85:88:F5:88:4C,-62
1560326100338,D7:85:88:F5:88:4C,-64
1560326100879,D7:85:88:F5:88:4C,-61
1560326101840,D7:85:88:F5:88:4C,-53
1560326102496,C1:AC:89:13:6B:C2,-93
1560326102782,D7:85:88:F5:88:4C,-50
1560326103643,C1:AC:89:13:6B:C2,-90
1560326104605,C1:AC:89:13:6B:C2,-90
1560326104693,D7:85:88:F5:88:4C,-56
1560326105646,D7:85:88:F5:88:4C,-51
1560326106586,D7:85:88:F5:88:4C,-51
1560326107537,D7:85:88:F5:88:4C,-51
1560326108334,D7:85:88:F5:88:4C,-55
1560326108376,C1:AC:89:13:6B:C2,-91
1560326108481,D7:85:88:F5:88:4C,-55
1560326108880,C1:AC:89:13:6B:C2,-90
1560326109124,D7:85:88:F5:88:4C,-55
1560326109942,D7:85:88:F5:88:4C,-50
1560326110293,C1:AC:89:13:6B:C2,-87
1560326110371,D7:85:88:F5:88:4C,-53
1560326111296,C1:AC:89:13:6B:C2,-92
1560326111328,D7:85:88:F5:88:4C,-68
1560326112287,D7:85:88:F5:88:4C,-64
1560326112330,D7:85:88:F5:88:4C,-68
1560326113141,C1:AC:89:13:6B:C2,-89
1560326113934,D7:85:88:F5:88:4C,-55
1560326114736,D7:85:88:F5:88:4C,-56
1560326115524,D7:85:88:F5:88:4C,-55
1560326116321,D7:85:88:F5:88:4C,-62
1560326117020,D7:85:88:F5:88:4C,-56
1560326117923,D7:85:88:F5:88:4C,-52
1560326117965,D7:85:88:F5:88:4C,-53
1560326121728,C1:AC:89:13:6B:C2,-87
1560326121925,D7:85:88:F5:88:4C,-52
1560326122637,C1:AC:89:13:6B:C2,-87
1560326122764,D7:85:88:F5:88:4C,-53
1560326123519,D7:85:88:F5:88:4C,-50
1560326123668,D7:85:88:F5:88:4C,-51
1560326124612,D7:85:88:F5:88:4C,-60
1560326125913,D7:85:88:F5:88:4C,-66
1560326126490,C1:AC:89:13:6B:C2,-95
1560326126524,D7:85:88:F5:88:4C,-55
1560326127475,D7:85:88:F5:88:4C,-49
1560326127520,D7:85:88:F5:88:4C,-48
1560326128308,D7:85:88:F5:88:4C,-59
1560326128412,D7:85:88:F5:88:4C,-59
1560326130309,D7:85:88:F5:88:4C,-44
1560326130778,C2:9B:38:AF:12:75,-94
1560326131261,D7:85:88:F5:88:4C,-52
1560326131291,C1:AC:89:13:6B:C2,-92
1560326131503,D7:85:88:F5:88:4C,-49
1560326132091,C1:AC:89:13:6B:C2,-89
1560326132314,D7:85:88:F5:88:4C,-48
1560326132883,C1:AC:89:13:6B:C2,-84
1560326133090,C1:AC:89:13:6B:C2,-86
1560326133114,D7:85:88:F5:88:4C,-54
1560326133158,D7:85:88:F5:88:4C,-55
1560326133269,C2:9B:38:AF:12:75,-94
1560326135057,D7:85:88:F5:88:4C,-59
1560326135940,C1:AC:89:13:6B:C2,-86
1560326136010,D7:85:88:F5:88:4C,-59
1560326136091,C1:AC:89:13:6B:C2,-89
1560326136312,D7:85:88:F5:88:4C,-61
1560326136922,C1:AC:89:13:6B:C2,-93
1560326136958,D7:85:88:F5:88:4C,-66
1560326137904,D7:85:88:F5:88:4C,-66
1560326138712,D7:85:88:F5:88:4C,-64
1560326138786,C1:AC:89:13:6B:C2,-96
1560326138850,D7:85:88:F5:88:4C,-61
1560326140301,D7:85:88:F5:88:4C,-63
1560326140753,D7:85:88:F5:88:4C,-74
1560326141906,D7:85:88:F5:88:4C,-63
1560326142492,C1:AC:89:13:6B:C2,-85
1560326142587,C1:AC:89:13:6B:C2,-85
1560326142662,D7:85:88:F5:88:4C,-61
1560326143542,C1:AC:89:13:6B:C2,-87
1560326143599,D7:85:88:F5:88:4C,-50
1560326145095,D7:85:88:F5:88:4C,-66
1560326145495,D7:85:88:F5:88:4C,-53
1560326146394,C1:AC:89:13:6B:C2,-86
1560326146451,D7:85:88:F5:88:4C,-57
1560326146495,C1:AC:89:13:6B:C2,-80
1560326146705,D7:85:88:F5:88:4C,-66
1560326147335,C1:AC:89:13:6B:C2,-79
1560326147404,D7:85:88:F5:88:4C,-57
1560326149099,D7:85:88:F5:88:4C,-49
1560326149300,D7:85:88:F5:88:4C,-45
1560326149894,D7:85:88:F5:88:4C,-55
1560326150256,D7:85:88:F5:88:4C,-53
1560326152085,C1:AC:89:13:6B:C2,-89
1560326152147,C1:AC:89:13:6B:C2,-91
1560326152153,D7:85:88:F5:88:4C,-71
1560326153034,C1:AC:89:13:6B:C2,-86
1560326153099,D7:85:88:F5:88:4C,-70
1560326153135,D7:85:88:F5:88:4C,-70
1560326153890,D7:85:88:F5:88:4C,-79
1560326154036,D7:85:88:F5:88:4C,-69
1560326154483,C1:AC:89:13:6B:C2,-90
1560326154691,D7:85:88:F5:88:4C,-62
1560326154933,C1:AC:89:13:6B:C2,-90
1560326155291,C1:AC:89:13:6B:C2,-88
