time,lat,lon,C1:AC:89:13:6B:C2,C2:9B:38:AF:12:75,D7:85:88:F5:88:4C,EB:78:55:87:E9:E5
1560326097000.0,54.72980995686873,25.262755751609802,-85.0,0.0,-52.0,0.0
1560326098000.0,54.729810368546666,25.262755751609802,-88.5,0.0,-61.0,0.0
1560326099000.0,54.729810780224604,25.262755751609802,-89.0,0.0,-56.0,0.0
1560326100000.0,54.72981119190254,25.262755751609802,-90.5,0.0,-61.0,0.0
1560326101000.0,54.72981160358048,25.262755751609802,-89.0,0.0,-61.0,0.0
1560326102000.0,54.72981201525842,25.262755751609802,0.0,0.0,-61.5,0.0
1560326103000.0,54.729812426936356,25.262755751609802,-93.0,0.0,-57.0,0.0
1560326104000.0,54.72981283861429,25.262755751609802,-91.5,0.0,-51.5,0.0
1560326105000.0,54.72981325029223,25.262755751609802,-90.0,0.0,-53.0,0.0
1560326106000.0,54.72981366197017,25.262755751609802,-90.0,0.0,-53.5,0.0
1560326107000.0,54.7298140485519,25.262755624749722,-90.0,0.0,-51.0,0.0
1560326108000.0,54.7298142400877,25.262754511942,0.0,0.0,-51.0,0.0
1560326109000.0,54.729814431623495,25.262753399134276,-90.5,0.0,-53.0,0.0
1560326110000.0,54.72981462315929,25.262752286326553,-90.5,0.0,-55.0,0.0
1560326111000.0,54.72981481469509,25.26275117351883,-90.0,0.0,-55.0,0.0
1560326112000.0,54.729815006230886,25.262750060711106,-89.5,0.0,-54.0,0.0
1560326113000.0,54.72981519776668,25.262748947903383,-89.5,0.0,-66.0,0.0
1560326114000.0,54.72981538930248,25.26274783509566,-90.5,0.0,-66.0,0.0
1560326115000.0,54.72981558083828,25.262746722287936,-89.0,0.0,-60.0,0.0
1560326116000.0,54.729815772374074,25.262745609480213,-89.0,0.0,-55.0,0.0
1560326117000.0,54.72981596390987,25.262744496672493,0.0,0.0,-56.0,0.0
1560326118000.0,54.72981615544567,25.26274338386477,0.0,0.0,-55.0,0.0
1560326119000.0,54.729816346981465,25.262742271057046,0.0,0.0,-54.5,0.0
1560326120000.0,54.72981653851726,25.262741158249323,0.0,0.0,-53.0,0.0
1560326122000.0,54.729816921588856,25.262738932633876,-87.0,0.0,-52.0,0.0
1560326123000.0,54.72981711312465,25.262737819826153,-87.0,0.0,-52.5,0.0
1560326124000.0,54.72981730466045,25.26273670701843,-87.0,0.0,-51.5,0.0
1560326125000.0,54.72981749619625,25.262735594210707,-87.0,0.0,-52.0,0.0
1560326126000.0,54.729817687732044,25.262734481402983,0.0,0.0,-55.5,0.0
1560326127000.0,54.72981787926784,25.26273336859526,-95.0,0.0,-60.0,0.0
1560326128000.0,54.72981807080364,25.262732255787537,-95.0,0.0,-52.0,0.0
1560326129000.0,54.729818262339435,25.262731142979813,-95.0,0.0,-55.0,0.0
1560326130000.0,54.72981845387523,25.262730030172094,0.0,0.0,-54.0,0.0
1560326131000.0,54.72981864541103,25.26272891736437,0.0,-94.0,-59.0,0.0
1560326132000.0,54.729818836946826,25.262727804556647,-92.0,-94.0,-49.0,0.0
1560326133000.0,54.72981902848262,25.262726691748924,-89.0,-94.0,-48.5,0.0
1560326134000.0,54.72981922001842,25.2627255789412,-87.5,-94.0,-52.0,0.0
1560326135000.0,54.72981941155422,25.262724466133477,-86.0,-94.0,-54.0,0.0
1560326136000.0,54.729819603090014,25.262723353325754,-86.0,-94.0,-55.0,0.0
1560326137000.0,54.72981979462581,25.26272224051803,-89.0,0.0,-60.0,0.0
1560326138000.0,54.72981998616161,25.262721127710307,-89.0,0.0,-61.0,0.0
1560326139000.0,54.729820165081684,25.262720788140662,-93.0,0.0,-62.5,0.0
1560326140000.0,54.72982034044348,25.262720666663803,-96.0,0.0,-64.0,0.0
1560326141000.0,54.72982051580528,25.262720545186948,-96.0,0.0,-63.5,0.0
1560326142000.0,54.72982069116707,25.26272042371009,0.0,0.0,-63.0,0.0
1560326143000.0,54.72982086652887,25.262720302233234,-85.0,0.0,-63.0,0.0
1560326144000.0,54.729820821519326,25.262722711611012,-85.0,0.0,-61.0,0.0
1560326145000.0,54.72982014929906,25.26273232419044,-85.0,0.0,-55.5,0.0
1560326146000.0,54.72981947707879,25.26274193676987,-87.0,0.0,-53.0,0.0
1560326147000.0,54.729818804858525,25.262751549349304,-83.0,0.0,-61.5,0.0
1560326148000.0,54.72981813263826,25.262761161928733,-80.0,0.0,-57.0,0.0
1560326149000.0,54.72981746041799,25.262770774508162,-80.0,0.0,-57.0,0.0
1560326150000.0,54.729816788197724,25.262780387087595,-79.0,0.0,-52.0,0.0
1560326151000.0,54.72981611597746,25.262789999667024,0.0,0.0,-51.0,0.0
1560326152000.0,54.72981544375719,25.262799612246454,0.0,0.0,-51.0,0.0
1560326153000.0,54.729814771536915,25.262809224825887,-90.0,0.0,-62.0,0.0
1560326154000.0,54.729814308307496,25.262817177471835,-89.0,0.0,-70.5,0.0
1560326155000.0,54.7298147971475,25.262817568198603,-90.0,0.0,-70.0,0.0
1560326156000.0,54.7298152859875,25.26281795892537,-89.0,0.0,-70.0,0.0
1560326157000.0,54.7298157748275,25.26281834965214,-88.0,0.0,-63.5,0.0
1560326158000.0,54.729816263667495,25.262818740378904,-87.0,0.0,-61.0,0.0
1560326159000.0,54.729816752507496,25.262819131105672,-85.0,0.0,-61.0,0.0
1560326160000.0,54.7298172413475,25.26281952183244,-83.0,0.0,-55.0,0.0
1560326161000.0,54.7298177301875,25.262819912559205,-84.0,0.0,-55.0,0.0
1560326162000.0,54.72981821902749,25.262820303285974,-84.0,0.0,0.0,0.0
1560326163000.0,54.729818707867494,25.262820694012742,-86.0,0.0,-60.5,0.0
1560326164000.0,54.729819196707496,25.262821084739507,-87.0,0.0,-61.5,0.0
1560326165000.0,54.72981604546109,25.262813595081568,-87.0,0.0,-61.0,0.0
1560326166000.0,54.729812411892944,25.26280506125034,-87.0,0.0,-62.0,0.0
1560326167000.0,54.729808778324795,25.262796527419113,-89.0,0.0,-61.0,0.0
1560326168000.0,54.72980514475664,25.262787993587885,-90.0,0.0,-59.5,0.0
1560326169000.0,54.72980151118849,25.262779459756658,-88.0,0.0,-48.0,0.0
1560326170000.0,54.729797877620335,25.26277092592543,-89.5,0.0,-47.5,0.0
1560326171000.0,54.72979424405219,25.262762392094203,-88.5,0.0,-47.0,0.0
1560326172000.0,54.729791041477945,25.26275475062161,-88.0,0.0,-48.0,0.0
1560326173000.0,54.72979155208199,25.262754797161882,-87.5,0.0,-56.0,0.0
1560326174000.0,54.729792062686045,25.262754843702155,-88.0,0.0,-61.0,0.0
1560326175000.0,54.7297925732901,25.26275489024243,-88.0,0.0,-58.0,0.0
1560326176000.0,54.72979308389415,25.262754936782702,-88.0,0.0,-55.0,0.0
1560326177000.0,54.7297935944982,25.262754983322974,-90.5,0.0,-53.0,0.0
1560326178000.0,54.72979410510225,25.26275502986325,-93.0,0.0,-54.0,0.0
1560326179000.0,54.729794615706304,25.262755076403522,-93.0,0.0,-55.0,0.0
1560326180000.0,54.72980300851704,25.262755026951666,-88.0,0.0,-55.0,0.0
1560326181000.0,54.72981227712852,25.262754966834017,-88.0,0.0,-56.0,0.0
1560326182000.0,54.729821545739995,25.262754906716367,-88.0,0.0,-58.5,0.0
1560326183000.0,54.72983081435147,25.262754846598718,-87.0,-87.0,-61.0,0.0
1560326184000.0,54.729840082962944,25.26275478648107,-85.0,-87.0,-57.0,0.0
1560326185000.0,54.72984652043013,25.2627546158024,-78.0,-89.0,-56.0,0.0
1560326186000.0,54.729847023888986,25.262754213390565,-78.0,-89.5,-57.0,0.0
1560326187000.0,54.72984752734784,25.26275381097873,-78.0,-89.0,-57.0,0.0
1560326188000.0,54.7298480308067,25.262753408566894,-81.5,-91.0,-63.0,0.0
1560326189000.0,54.72984853426556,25.26275300615506,-86.0,-97.0,-65.0,0.0
1560326190000.0,54.72984845594386,25.262747879528714,-86.0,-93.0,-63.0,0.0
1560326191000.0,54.7298471637837,25.262732896207897,-86.0,-89.0,-63.0,0.0
1560326192000.0,54.72984587162355,25.26271791288708,-83.0,-89.0,-65.0,0.0
1560326193000.0,54.7298445794634,25.262702929566263,-82.0,-89.0,-67.0,0.0
1560326194000.0,54.72984477352727,25.26270171068956,-82.0,-86.0,-65.0,0.0
1560326195000.0,54.729845174105186,25.262702404412146,-84.5,-86.0,-65.0,0.0
1560326196000.0,54.7298455746831,25.262703098134736,-86.0,-86.0,-63.0,0.0
1560326197000.0,54.72984597526101,25.262703791857323,-78.0,-85.5,-65.0,0.0
1560326198000.0,54.729846356707895,25.262705298293742,-77.5,-87.0,-61.0,-95.0
1560326199000.0,54.72984633215192,25.26272405232367,-75.5,-86.0,-68.0,-95.5
1560326200000.0,54.72984630759595,25.262742806353597,-80.5,-87.5,-70.0,-95.5
1560326201000.0,54.72984628303998,25.262761560383524,-82.5,-86.0,-70.0,-96.0
1560326202000.0,54.72984625848401,25.26278031441345,-82.5,-91.5,-65.0,0.0
1560326203000.0,54.729846233928036,25.262799068443375,-83.0,-91.5,-62.5,0.0
1560326204000.0,54.72984620937206,25.262817822473302,-81.0,-90.0,-64.0,0.0
1560326205000.0,54.72984618481609,25.26283657650323,-81.5,-85.0,-64.0,0.0
1560326206000.0,54.729846168761924,25.262852326887863,-81.0,-88.0,-64.0,0.0
1560326207000.0,54.72984619701222,25.26285242473585,-76.0,-90.0,-65.0,0.0
1560326208000.0,54.72984622526252,25.262852522583838,-71.5,-92.0,-66.0,0.0
1560326209000.0,54.72984625351282,25.262852620431826,-72.0,-91.0,-65.0,0.0
1560326210000.0,54.729846281763116,25.262852718279813,-72.0,-91.0,-62.0,0.0
1560326211000.0,54.729846310013414,25.262852816127797,-78.0,-86.5,-61.0,0.0
1560326212000.0,54.72984633826371,25.262852913975784,-78.0,-88.5,-61.0,0.0
1560326213000.0,54.72984638760635,25.26285826515857,-75.5,-88.5,-62.0,0.0
1560326214000.0,54.72984648433829,25.262875419288378,-72.0,-90.5,-68.0,0.0
1560326215000.0,54.72984658107022,25.26289257341818,-76.0,-89.5,-72.0,0.0
1560326216000.0,54.72984667780216,25.262909727547985,-73.5,-87.0,-77.0,-96.0
1560326217000.0,54.72984677453409,25.26292688167779,-67.0,-87.0,-85.0,-92.0
1560326218000.0,54.72984687126603,25.262944035807593,-66.5,-86.5,-79.0,-91.0
1560326219000.0,54.729846967997965,25.2629611899374,-66.5,-87.0,-73.0,-90.0
1560326220000.0,54.729847064729896,25.262978344067204,-63.5,-92.0,-73.0,-88.5
1560326221000.0,54.729847161461834,25.262995498197007,-46.0,-91.5,-90.0,-89.0
1560326222000.0,54.729847258193765,25.26301265232681,-47.0,-79.0,-85.0,-88.0
1560326223000.0,54.72984737860521,25.263024597347524,-47.0,-74.0,-87.5,-89.0
1560326224000.0,54.72984755400661,25.26302444546706,-48.0,-74.0,-85.0,-86.0
1560326225000.0,54.72984772940801,25.263024293586597,-50.0,-74.0,-91.0,-86.5
1560326226000.0,54.72984790480941,25.26302414170613,-51.0,-87.0,-95.0,-87.0
1560326227000.0,54.72984808021081,25.263023989825665,-53.0,-89.0,-95.0,-87.0
1560326228000.0,54.729847324216934,25.263038632827065,-54.0,-87.0,-95.0,-87.0
1560326229000.0,54.72984644838213,25.263055179458867,-61.5,-91.0,0.0,-85.0
1560326230000.0,54.72984557254733,25.26307172609067,-64.0,-79.5,0.0,-84.0
1560326231000.0,54.72984469671253,25.26308827272247,-66.0,-78.0,0.0,-68.0
1560326232000.0,54.72984386773495,25.263104453138826,-69.0,-76.0,0.0,-67.5
1560326233000.0,54.72984502917055,25.263105077359995,-71.0,-73.5,0.0,-67.0
1560326234000.0,54.729846190606146,25.263105701581168,-72.0,-76.0,0.0,-69.0
1560326235000.0,54.72984735204174,25.26310632580234,-70.5,-78.0,0.0,-70.0
1560326236000.0,54.729848513477336,25.26310695002351,-71.5,-79.0,0.0,-69.0
1560326237000.0,54.72985180449189,25.263107285465836,-68.0,-81.0,0.0,-66.0
1560326238000.0,54.72986423354099,25.263106381756597,-69.0,-82.0,0.0,-67.5
1560326239000.0,54.72987666259009,25.26310547804736,-70.0,-82.5,0.0,-70.0
1560326240000.0,54.72988909163919,25.263104574338122,-80.0,-77.0,0.0,-70.0
1560326241000.0,54.72990152068829,25.263103670628887,-81.5,-83.5,0.0,-68.0
1560326242000.0,54.72991394973738,25.26310276691965,-81.5,-83.5,0.0,-51.0
1560326243000.0,54.72992637878648,25.263101863210412,-78.0,-83.5,0.0,-52.0
1560326244000.0,54.72993880783558,25.263100959501177,-73.0,-85.5,0.0,-51.5
1560326245000.0,54.72995089646103,25.263100087375626,-80.0,-86.0,0.0,-52.0
1560326246000.0,54.729950717226586,25.2631003534326,-81.5,-88.0,0.0,-58.0
1560326247000.0,54.729950537992146,25.26310061948957,-81.5,-90.0,0.0,-62.0
1560326248000.0,54.729950358757705,25.263100885546542,-81.5,-93.0,0.0,-65.0
1560326249000.0,54.729950179523264,25.263101151603514,-89.0,-92.0,0.0,-69.0
1560326250000.0,54.729950000288824,25.263101417660483,-89.0,-94.0,0.0,-66.5
1560326251000.0,54.72994982105439,25.263101683717455,-89.0,-96.0,0.0,-63.0
1560326252000.0,54.72994964181995,25.263101949774427,-89.5,-96.0,0.0,-62.0
1560326253000.0,54.729949493821145,25.263092493321228,-88.5,-96.5,0.0,-64.5
1560326254000.0,54.72994938161597,25.263071895622463,-88.5,-86.0,0.0,-63.5
1560326255000.0,54.72994926941079,25.2630512979237,0.0,-86.0,0.0,-55.5
1560326256000.0,54.72994915720562,25.263030700224935,-82.0,-86.0,0.0,-56.0
1560326257000.0,54.72994904500044,25.26301010252617,-80.0,0.0,0.0,-58.0
1560326258000.0,54.72994893279526,25.262989504827406,-79.0,0.0,0.0,-66.0
1560326259000.0,54.72994882059009,25.26296890712864,-78.0,0.0,0.0,-79.0
1560326260000.0,54.72994870838491,25.262948309429877,-77.5,0.0,0.0,-81.0
1560326261000.0,54.72994859617973,25.262927711731116,-76.0,0.0,0.0,-83.0
1560326262000.0,54.72994859481695,25.262925060779086,-88.0,0.0,0.0,-83.0
1560326263000.0,54.729948614724286,25.262925853720056,-90.0,0.0,0.0,-87.5
1560326264000.0,54.72994863463162,25.262926646661022,-91.0,0.0,0.0,-92.0
1560326265000.0,54.729948654538944,25.26292743960199,-91.0,0.0,0.0,-83.0
1560326266000.0,54.72994867444628,25.26292823254296,-89.5,0.0,0.0,-85.0
1560326267000.0,54.72994869435361,25.262929025483928,-85.0,0.0,0.0,-85.0
1560326268000.0,54.72994871426094,25.262929818424897,-83.0,0.0,0.0,-86.5
1560326269000.0,54.729948734168275,25.262930611365864,-85.0,0.0,0.0,0.0
1560326270000.0,54.72994875407561,25.262931404306833,-85.0,-96.0,0.0,-78.0
1560326271000.0,54.729948878097574,25.26293006873192,-88.0,-96.0,0.0,-79.0
1560326272000.0,54.72994981129117,25.26291219048093,-86.0,-96.0,0.0,-79.0
1560326273000.0,54.729950744484775,25.26289431222994,-79.0,-94.0,0.0,-81.5
1560326274000.0,54.72995167767838,25.262876433978946,-89.0,-94.0,0.0,-86.0
1560326275000.0,54.729952610871976,25.262858555727956,-89.0,-94.0,-94.0,-88.0
1560326276000.0,54.72995354406558,25.262840677476966,-90.5,0.0,-94.0,-89.0
1560326277000.0,54.72995447725918,25.262822799225976,0.0,0.0,-94.0,-89.0
1560326278000.0,54.72995541045278,25.262804920974986,-92.0,0.0,0.0,-87.5
1560326279000.0,54.72995634364638,25.262787042723993,-92.0,0.0,0.0,-89.0
1560326280000.0,54.72995727683998,25.262769164473003,-92.0,0.0,0.0,-89.0
1560326281000.0,54.72995801623833,25.2627541587319,0.0,0.0,0.0,-92.0
1560326283000.0,54.72995739807099,25.262755229279765,0.0,0.0,-90.0,-91.0
1560326284000.0,54.72995708898732,25.2627557645537,0.0,0.0,-91.5,-90.5
1560326285000.0,54.729956779903645,25.26275629982763,0.0,0.0,-91.5,-91.0
1560326286000.0,54.72995647081998,25.262756835101563,0.0,0.0,-92.0,-91.0
1560326287000.0,54.729956161736304,25.262757370375493,0.0,0.0,-94.0,-91.0
1560326288000.0,54.729955871252734,25.26275762004422,0.0,0.0,-94.0,0.0
1560326289000.0,54.72995563209427,25.262757081614367,0.0,0.0,0.0,-92.0
1560326290000.0,54.72995539293579,25.262756543184516,0.0,0.0,0.0,-93.0
1560326291000.0,54.72995515377732,25.262756004754667,0.0,0.0,0.0,-93.0
1560326292000.0,54.72995491461885,25.262755466324816,0.0,0.0,0.0,-90.5
1560326293000.0,54.72995467546038,25.262754927894964,0.0,0.0,0.0,-87.0
1560326294000.0,54.7299544363019,25.262754389465112,0.0,0.0,-81.0,-87.5
1560326295000.0,54.72995419714343,25.26275385103526,0.0,0.0,-81.0,-88.0
1560326296000.0,54.72995458558065,25.26275467474168,0.0,0.0,-81.0,-88.0
1560326297000.0,54.7299580165724,25.262762102021007,0.0,0.0,-81.0,-92.0
1560326298000.0,54.72996144756414,25.262769529300336,0.0,0.0,-78.5,-91.0
1560326299000.0,54.72996487855589,25.262776956579664,0.0,0.0,-79.5,-93.0
1560326300000.0,54.729967324807994,25.262781986904038,0.0,0.0,-83.0,-94.0
1560326301000.0,54.72996780747745,25.26278223767152,0.0,0.0,-83.0,-94.5
1560326302000.0,54.72996829014691,25.262782488439004,0.0,0.0,-83.5,-92.0
1560326303000.0,54.72996877281637,25.26278273920649,0.0,0.0,-86.0,-92.0
1560326304000.0,54.72996727241631,25.262783283696454,0.0,0.0,-89.0,-92.0
1560326305000.0,54.72996161555166,25.26278444382146,0.0,0.0,0.0,-92.0
1560326306000.0,54.72995595868701,25.26278560394647,-92.5,0.0,-81.0,-92.0
1560326307000.0,54.72995463092193,25.26278630336953,-92.5,0.0,-81.0,-91.0
1560326308000.0,54.729954970040076,25.262786825403207,-92.5,0.0,-81.0,-90.5
1560326309000.0,54.729955309158214,25.26278734743688,0.0,0.0,-79.5,-90.0
1560326310000.0,54.72995564827636,25.262787869470554,-95.0,0.0,-83.0,-96.0
1560326311000.0,54.729955987394504,25.262788391504227,-95.0,0.0,-81.0,-96.0
