1559905339021,F6:24:3F:F0:20:31,5,-451
1559905339021,D7:85:88:F5:88:4C,6,-341
1559905342036,D7:85:88:F5:88:4C,6,-290
1559905345046,D7:85:88:F5:88:4C,3,-167
1559905348055,F6:24:3F:F0:20:31,2,-186
1559905348055,D7:85:88:F5:88:4C,4,-231
1559905351071,F6:24:3F:F0:20:31,1,-93
1559905351071,D7:85:88:F5:88:4C,5,-265
1559905354075,F6:24:3F:F0:20:31,3,-278
1559905354075,D7:85:88:F5:88:4C,1,-49
1559905357085,D7:85:88:F5:88:4C,6,-312
1559905360092,F6:24:3F:F0:20:31,1,-97
1559905360092,D7:85:88:F5:88:4C,6,-323
1559905363109,F6:24:3F:F0:20:31,1,-92
1559905363109,D7:85:88:F5:88:4C,7,-376
1559905366120,D7:85:88:F5:88:4C,4,-210
1559905369128,D7:85:88:F5:88:4C,3,-206
1559905372136,F6:24:3F:F0:20:31,1,-91
1559905372136,D7:85:88:F5:88:4C,4,-223
1559905375147,F6:24:3F:F0:20:31,2,-180
1559905375147,D7:85:88:F5:88:4C,5,-272
1559905378159,D7:85:88:F5:88:4C,4,-255
1559905381166,D7:85:88:F5:88:4C,5,-325
1559905384173,F6:24:3F:F0:20:31,3,-272
1559905384173,D7:85:88:F5:88:4C,3,-219
1559905387181,F6:24:3F:F0:20:31,7,-589
1559905387181,D7:85:88:F5:88:4C,6,-352
1559905390189,F6:24:3F:F0:20:31,3,-249
1559905390189,D7:85:88:F5:88:4C,5,-280
1559905393197,F6:24:3F:F0:20:31,2,-174
1559905393197,D7:85:88:F5:88:4C,5,-284
1559905396206,F6:24:3F:F0:20:31,3,-275
1559905396206,D7:85:88:F5:88:4C,5,-307
1559905399215,F6:24:3F:F0:20:31,4,-366
1559905399215,D7:85:88:F5:88:4C,6,-305
1559905402222,F6:24:3F:F0:20:31,2,-180
1559905402222,D7:85:88:F5:88:4C,1,-59
1559905405232,C2:9B:38:AF:12:75,2,-181
1559905405232,F6:24:3F:F0:20:31,3,-239
1559905405232,D7:85:88:F5:88:4C,4,-251
1559905408240,C2:9B:38:AF:12:75,1,-95
1559905408240,F6:24:3F:F0:20:31,3,-244
1559905408240,D7:85:88:F5:88:4C,5,-315
1559905411265,C2:9B:38:AF:12:75,5,-452
1559905411265,F6:24:3F:F0:20:31,3,-234
1559905411265,D7:85:88:F5:88:4C,4,-260
1559905414273,C2:9B:38:AF:12:75,1,-91
1559905414273,F6:24:3F:F0:20:31,1,-78
1559905414273,D7:85:88:F5:88:4C,5,-295
1559905417285,F6:24:3F:F0:20:31,5,-409
1559905417285,D7:85:88:F5:88:4C,6,-325
1559905420301,C2:9B:38:AF:12:75,2,-188
1559905420301,F6:24:3F:F0:20:31,4,-331
1559905420301,D7:85:88:F5:88:4C,4,-259
1559905423311,C2:9B:38:AF:12:75,2,-179
1559905423311,F6:24:3F:F0:20:31,2,-158
1559905423311,D7:85:88:F5:88:4C,2,-120
1559905426323,C2:9B:38:AF:12:75,2,-179
1559905426323,F6:24:3F:F0:20:31,4,-318
1559905426323,D7:85:88:F5:88:4C,4,-211
1559905429334,C2:9B:38:AF:12:75,1,-91
1559905429334,F6:24:3F:F0:20:31,3,-242
1559905429334,D7:85:88:F5:88:4C,4,-201
1559905432340,C2:9B:38:AF:12:75,1,-91
1559905432340,F6:24:3F:F0:20:31,3,-253
1559905432340,D7:85:88:F5:88:4C,2,-120
1559905435348,C2:9B:38:AF:12:75,5,-449
1559905435348,F6:24:3F:F0:20:31,5,-371
1559905435348,D7:85:88:F5:88:4C,5,-311
1559905438355,C2:9B:38:AF:12:75,3,-269
1559905438355,EB:78:55:87:E9:E5,1,-89
1559905438355,F6:24:3F:F0:20:31,5,-361
1559905438355,D7:85:88:F5:88:4C,4,-311
1559905441360,C2:9B:38:AF:12:75,5,-422
1559905441360,F6:24:3F:F0:20:31,1,-60
1559905441360,D7:85:88:F5:88:4C,2,-164
1559905444366,C2:9B:38:AF:12:75,2,-151
1559905444366,EB:78:55:87:E9:E5,1,-87
1559905444366,F6:24:3F:F0:20:31,3,-176
1559905447377,C2:9B:38:AF:12:75,4,-310
1559905447377,EB:78:55:87:E9:E5,3,-233
1559905447377,F6:24:3F:F0:20:31,4,-217
1559905447377,D7:85:88:F5:88:4C,1,-88
1559905450386,C2:9B:38:AF:12:75,4,-338
1559905450386,EB:78:55:87:E9:E5,6,-528
1559905450386,F6:24:3F:F0:20:31,5,-327
1559905450386,D7:85:88:F5:88:4C,2,-177
1559905453394,C2:9B:38:AF:12:75,5,-400
1559905453394,EB:78:55:87:E9:E5,6,-503
1559905453394,F6:24:3F:F0:20:31,3,-217
1559905456399,C2:9B:38:AF:12:75,5,-402
1559905456399,EB:78:55:87:E9:E5,5,-371
1559905456399,F6:24:3F:F0:20:31,5,-413
1559905459407,C2:9B:38:AF:12:75,4,-306
1559905459407,EB:78:55:87:E9:E5,5,-374
1559905459407,F6:24:3F:F0:20:31,4,-294
1559905462413,C2:9B:38:AF:12:75,3,-229
1559905462413,EB:78:55:87:E9:E5,3,-249
1559905462413,F6:24:3F:F0:20:31,3,-243
1559905465422,C2:9B:38:AF:12:75,8,-526
1559905465422,EB:78:55:87:E9:E5,3,-209
1559905465422,F6:24:3F:F0:20:31,5,-340
1559905465422,D7:85:88:F5:88:4C,4,-357
1559905468427,C2:9B:38:AF:12:75,7,-597
1559905468427,EB:78:55:87:E9:E5,6,-380
1559905468427,F6:24:3F:F0:20:31,7,-568
1559905471435,C2:9B:38:AF:12:75,4,-338
1559905471435,EB:78:55:87:E9:E5,4,-219
1559905471435,F6:24:3F:F0:20:31,2,-174
1559905474443,C2:9B:38:AF:12:75,2,-181
1559905474443,EB:78:55:87:E9:E5,3,-180
1559905474443,F6:24:3F:F0:20:31,2,-176
1559905474443,D7:85:88:F5:88:4C,1,-94
1559905477455,C2:9B:38:AF:12:75,1,-89
1559905477455,EB:78:55:87:E9:E5,3,-190
1559905477455,F6:24:3F:F0:20:31,6,-537
1559905480465,C2:9B:38:AF:12:75,2,-185
1559905480465,EB:78:55:87:E9:E5,3,-186
1559905480465,F6:24:3F:F0:20:31,2,-180
