time,lat,lon,C2:9B:38:AF:12:75,D7:85:88:F5:88:4C,EB:78:55:87:E9:E5,F6:24:3F:F0:20:31
1559905339021.0,54.72980996112807,25.262772180140015,0.0,-56.833333333333336,0.0,-90.2
1559905342036.0,54.72980996112807,25.262772180140015,0.0,-48.333333333333336,0.0,0.0
1559905345046.0,54.72980996112807,25.262772180140015,0.0,-55.666666666666664,0.0,0.0
1559905348055.0,54.72980996112807,25.262772180140015,0.0,-57.75,0.0,-93.0
1559905351071.0,54.72980996112807,25.262772180140015,0.0,-53.0,0.0,-93.0
1559905354075.0,54.72980996112807,25.262772180140015,0.0,-49.0,0.0,-92.66666666666667
1559905357085.0,54.72980996112807,25.262772180140015,0.0,-52.0,0.0,0.0
1559905360092.0,54.729807187219585,25.262771628877164,0.0,-53.833333333333336,0.0,-97.0
1559905363109.0,54.72980293041293,25.262770782915815,0.0,-53.714285714285715,0.0,-92.0
1559905366120.0,54.729798682071916,25.26276993863685,0.0,-52.5,0.0,0.0
1559905369128.0,54.729798239412524,25.262767855309207,0.0,-68.66666666666667,0.0,0.0
1559905372136.0,54.72979833981726,25.262765594854436,0.0,-55.75,0.0,-91.0
1559905375147.0,54.72980474164763,25.262792124733615,0.0,-54.4,0.0,-90.0
1559905378159.0,54.72981149935614,25.262820279819476,0.0,-63.75,0.0,0.0
1559905381166.0,54.729811062050594,25.262821616475158,0.0,-65.0,0.0,0.0
1559905384173.0,54.72981040055937,25.262822117663084,0.0,-73.0,0.0,-90.66666666666667
1559905387181.0,54.72980973884816,25.262822619017683,0.0,-58.666666666666664,0.0,-84.14285714285714
1559905390189.0,54.729809077136956,25.262823120372286,0.0,-56.0,0.0,-83.0
1559905393197.0,54.72981132060938,25.262810980294493,0.0,-56.8,0.0,-87.0
1559905396206.0,54.729820753017165,25.26276755794733,0.0,-61.4,0.0,-91.66666666666667
1559905399215.0,54.72982435999685,25.262752472306516,0.0,-50.833333333333336,0.0,-91.5
1559905402222.0,54.729825049445736,25.262751576814008,0.0,-59.0,0.0,-90.0
1559905405232.0,54.72983259207612,25.262751305149298,-90.5,-62.75,0.0,-79.66666666666667
1559905408240.0,54.7298447697176,25.262751456050502,-95.0,-63.0,0.0,-81.33333333333333
1559905411265.0,54.72984462835591,25.26275047680736,-90.4,-65.0,0.0,-78.0
1559905414273.0,54.729844487788654,25.2627495030674,-91.0,-59.0,0.0,-78.0
1559905417285.0,54.729844347034465,25.262748528032574,0.0,-54.166666666666664,0.0,-81.8
1559905420301.0,54.729844206093354,25.262747551702883,-94.0,-64.75,0.0,-82.75
1559905423311.0,54.72984406543264,25.26274657731549,-89.5,-60.0,0.0,-79.0
1559905426323.0,54.72984392467845,25.262745602280667,-89.5,-52.75,0.0,-79.5
1559905429334.0,54.72984378397099,25.262744627569557,-91.0,-50.25,0.0,-80.66666666666667
1559905432340.0,54.72984364009393,25.262745340069767,-91.0,-60.0,0.0,-84.33333333333333
1559905435348.0,54.72984337765737,25.26280472660291,-89.8,-62.2,0.0,-74.2
1559905438355.0,54.72984311530804,25.262864093393183,-89.66666666666667,-77.75,-89.0,-72.2
1559905441360.0,54.72984285313321,25.262923420697735,-84.4,-82.0,0.0,-60.0
1559905444366.0,54.72984259087114,25.26298276774515,-75.5,0.0,-87.0,-58.666666666666664
1559905447377.0,54.72984215121747,25.2630116568726,-77.5,-88.0,-77.66666666666667,-54.25
1559905450386.0,54.72984159402918,25.26302018051852,-84.5,-88.5,-88.0,-65.4
1559905453394.0,54.72984095767223,25.26304959429244,-80.0,0.0,-83.83333333333333,-72.33333333333333
1559905456399.0,54.72984024747978,25.263098585876964,-80.4,0.0,-74.2,-82.6
1559905459407.0,54.72983923237885,25.263102353930893,-76.5,0.0,-74.8,-73.5
1559905462413.0,54.729838176754285,25.26309998810921,-76.33333333333333,0.0,-83.0,-81.0
1559905465422.0,54.72983712007621,25.263097619926427,-65.75,-89.25,-69.66666666666667,-68.0
1559905468427.0,54.72986932749051,25.263095072219006,-85.28571428571429,0.0,-63.333333333333336,-81.14285714285714
1559905471435.0,54.729911829789884,25.263092465607016,-84.5,0.0,-54.75,-87.0
1559905474443.0,54.72995157729514,25.26309002190828,-90.5,-94.0,-60.0,-88.0
1559905477455.0,54.72995000079496,25.26309002190828,-89.0,0.0,-63.333333333333336,-89.5
1559905480465.0,54.72994842534159,25.26309002190828,-92.5,0.0,-62.0,-90.0
1559905483470.0,54.729948599161226,25.26303444906476,-94.66666666666667,0.0,-70.66666666666667,-86.2
1559905486475.0,54.729948819526534,25.262977395291355,-90.0,0.0,-76.0,-82.33333333333333
1559905489480.0,54.72994903989184,25.262920341517944,0.0,-91.0,-81.8,-83.2
1559905492485.0,54.72994870753436,25.262888109956435,0.0,0.0,-86.5,-92.75
1559905495491.0,54.729947725740956,25.262885028201786,0.0,0.0,-88.8,-88.0
1559905498496.0,54.72994674427416,25.26288194747234,0.0,0.0,-80.16666666666667,-83.0
1559905501503.0,54.72994682532413,25.26286532759697,0.0,-86.0,0.0,-87.25
1559905504508.0,54.729949331658425,25.262817837509388,0.0,0.0,-88.66666666666667,-92.5
1559905507514.0,54.72995183882677,25.262770331618118,0.0,0.0,-93.0,0.0
1559905510520.0,54.729952071444565,25.26275392486879,0.0,0.0,-92.5,0.0
1559905513525.0,54.729951228918296,25.26275222259186,0.0,-86.0,-88.5,0.0
1559905516532.0,54.72995038583127,25.262750519181964,0.0,-87.5,-94.5,0.0
1559905519537.0,54.729950048158926,25.262753806650956,0.0,0.0,-94.0,0.0
1559905522545.0,54.72994975262724,25.262757517232927,0.0,-87.4,-96.25,0.0
1559905525556.0,54.72994953083525,25.26277276690234,0.0,-86.25,-89.0,0.0
1559905528561.0,54.72994948034363,25.262814607817827,0.0,-85.0,-90.0,-93.0
1559905531567.0,54.7299494298352,25.262856462657076,0.0,-92.0,-86.0,-86.0
1559905534574.0,54.72994937930998,25.262898331420097,-95.0,-87.33333333333333,-82.71428571428571,-83.33333333333333
1559905537579.0,54.72994932881836,25.262940172335583,0.0,0.0,-80.0,-73.75
1559905540586.0,54.72994927829313,25.2629820410986,0.0,0.0,-73.0,-73.66666666666667
1559905543592.0,54.7299492277847,25.263023895937852,-93.0,0.0,-71.0,-79.4
1559905546597.0,54.72994917729308,25.26306573685334,-90.66666666666667,0.0,-58.25,-82.66666666666667
1559905549603.0,54.72994859641348,25.26308252807416,-86.75,0.0,-59.857142857142854,-84.66666666666667
1559905552611.0,54.72994771147998,25.26308498013111,-82.0,0.0,-56.25,-84.0
1559905555615.0,54.72994682772325,25.26308742892735,-96.0,0.0,-66.0,0.0
1559905558624.0,54.72994579056651,25.26308855654463,-86.33333333333333,0.0,-60.5,-90.75
1559905561630.0,54.72994447618493,25.263087255826147,-86.25,0.0,-62.25,-91.0
1559905564637.0,54.72994316136611,25.263085954674956,-85.0,0.0,-58.0,-90.6
1559905567643.0,54.7299334229673,25.263085602249973,-93.5,0.0,-56.25,-88.66666666666667
